s0,s1,a0,terminal_flag
-0.3,-3.4,-17.0,not done
-0.2,-1.9,-15.0,not done
-0.2,-1.6,-12.0,not done
-0.2,-4.4,-14.0,not done
-0.2,-2.8,-13.0,not done
-0.2,-4.3,-14.0,not done
-0.2,-5.4,-16.0,not done
-0.2,-7.5,-18.0,not done
-0.2,-8.1,-21.0,not done
-0.3,-7.3,-22.0,not done
-0.3,-5.9,-21.0,not done
-0.3,-2.1,-17.0,not done
-0.2,-0.3,-13.0,not done
-0.2,-2.6,-14.0,not done
-0.2,-5.6,-18.0,not done
-0.2,-7.7,-20.0,not done
-0.3,-5.1,-19.0,not done
-0.3,-1.4,-15.0,not done
-0.2,-2.6,-14.0,not done
-0.2,-4.5,-16.0,not done
-0.2,-6.9,-19.0,not done
-0.3,-6.5,-20.0,not done
-0.2,-2.6,-16.0,not done
-0.3,-3.9,-18.0,not done
-0.3,-3.4,-17.0,not done
-0.3,-5.4,-20.0,not done
-0.3,-6.5,-22.0,not done
-0.3,-3.0,-18.0,not done
-0.3,-2.4,-17.0,not done
-0.3,-2.3,-16.0,not done
-0.3,-2.9,-17.0,not done
-0.3,-5.6,-21.0,not done
-0.3,-3.5,-19.0,not done
-0.3,-0.8,-16.0,not done
-0.3,0.1,-13.0,not done
-0.2,-2.0,-15.0,not done
-0.3,-6.0,-20.0,not done
-0.3,-4.7,-19.0,not done
-0.3,-2.0,-17.0,not done
-0.3,-0.2,-15.0,not done
-0.2,0.8,-12.0,not done
-0.2,-2.6,-15.0,not done
-0.2,-3.9,-16.0,not done
-0.2,-1.9,-13.0,not done
-0.2,-3.7,-14.0,not done
-0.2,-3.5,-15.0,not done
-0.2,-3.7,-15.0,not done
-0.2,-5.2,-17.0,not done
-0.2,-4.5,-16.0,not done
-0.2,-2.3,-14.0,not done
-0.2,-2.5,-14.0,not done
-0.2,-3.7,-15.0,not done
-0.2,-4.5,-16.0,not done
-0.2,-6.6,-19.0,not done
-0.3,-4.9,-18.0,not done
-0.2,-2.4,-15.0,not done
-0.2,-2.4,-15.0,not done
-0.3,-2.5,-16.0,not done
-0.2,-3.7,-16.0,not done
-0.3,-4.7,-18.0,not done
-0.3,-3.4,-17.0,not done
-0.2,-2.3,-14.0,not done
-0.2,-3.9,-16.0,not done
-0.2,-2.8,-15.0,not done
-0.2,-2.9,-16.0,not done
-0.2,-3.6,-17.0,not done
-0.2,-2.9,-16.0,not done
-0.2,-1.0,-12.0,not done
-0.2,-1.4,-10.0,not done
-0.2,-3.0,-13.0,not done
-0.2,-3.6,-15.0,not done
-0.2,-3.1,-16.0,not done
-0.3,-2.4,-16.0,not done
-0.2,0.6,-12.0,not done
-0.2,0.9,-10.0,not done
-0.2,-2.0,-11.0,not done
-0.2,-1.8,-10.0,not done
-0.2,-2.7,-12.0,not done
-0.2,-4.2,-14.0,not done
-0.2,-4.4,-14.0,not done
-0.2,-1.1,-11.0,not done
-0.2,0.3,-8.0,not done
-0.1,-2.7,-10.0,not done
-0.1,-4.3,-12.0,not done
-0.1,-5.1,-13.0,not done
-0.2,-7.3,-16.0,not done
-0.2,-7.1,-18.0,not done
-0.2,-4.1,-17.0,not done
-0.2,-0.8,-13.0,not done
-0.2,1.0,-9.0,not done
-0.1,0.1,-7.0,not done
-0.1,-1.7,-7.0,not done
-0.1,-3.0,-8.0,not done
-0.1,-5.7,-12.0,not done
-0.1,-7.6,-15.0,not done
-0.2,-7.6,-18.0,not done
-0.2,-3.1,-15.0,not done
-0.2,1.0,-9.0,not done
-0.1,2.0,-5.0,not done
-0.1,-2.6,-8.0,not done
-0.1,-4.6,-10.0,not done
-0.1,-4.1,-9.0,not done
-0.1,-4.8,-11.0,not done
-0.1,-6.6,-14.0,not done
-0.2,-7.9,-17.0,not done
-0.2,-6.1,-17.0,not done
-0.2,-2.3,-13.0,not done
-0.2,-0.2,-11.0,not done
-0.2,-1.0,-9.0,not done
-0.1,-1.4,-7.0,not done
-0.1,-2.6,-9.0,not done
-0.1,-3.6,-11.0,not done
-0.2,-4.5,-13.0,not done
-0.2,-4.4,-14.0,not done
-0.2,-4.8,-16.0,not done
-0.2,-4.6,-16.0,not done
-0.2,-3.0,-15.0,not done
-0.2,0.3,-11.0,not done
-0.2,1.7,-7.0,not done
-0.1,1.3,-5.0,not done
-0.1,-1.3,-7.0,not done
-0.1,-2.9,-9.0,not done
-0.1,-3.5,-11.0,not done
-0.2,-2.2,-11.0,not done
-0.2,-2.6,-12.0,not done
-0.2,-2.8,-12.0,not done
-0.2,-2.0,-11.0,not done
-0.2,-1.2,-10.0,not done
-0.1,-2.1,-8.0,not done
-0.1,-1.7,-6.0,not done
-0.1,-0.9,-5.0,not done
-0.1,-1.8,-6.0,not done
-0.1,-2.0,-6.0,not done
-0.1,-1.6,-6.0,not done
-0.1,-2.6,-7.0,not done
-0.1,-2.8,-7.0,not done
-0.1,-3.0,-8.0,not done
-0.1,-3.0,-8.0,not done
-0.1,-3.2,-9.0,not done
-0.1,-3.1,-10.0,not done
-0.1,-3.0,-10.0,not done
-0.2,-2.3,-10.0,not done
-0.2,-1.3,-9.0,not done
-0.1,-0.8,-8.0,not done
-0.1,0.0,-7.0,not done
-0.1,1.1,-5.0,not done
-0.1,1.8,-3.0,not done
-0.1,2.0,-1.0,not done
-0.0,1.4,-1.0,not done
-0.0,1.0,0.0,not done
0.0,1.0,1.0,not done
0.0,0.9,3.0,not done
0.1,0.7,4.0,not done
0.1,0.5,5.0,not done
0.1,1.1,7.0,not done
0.1,1.9,9.0,not done
0.2,2.5,11.0,not done
0.2,3.5,13.0,not done
0.2,4.0,15.0,not done
0.3,4.1,17.0,not done
0.3,4.8,20.0,not done
0.3,5.3,23.0,not done
0.4,6.0,26.0,not done
0.4,1.7,25.0,not done
0.5,0.8,26.0,not done
0.4,-7.7,16.0,not done
0.4,-17.0,2.0,not done
0.3,-11.5,3.0,not done
0.2,-8.8,4.0,not done
0.2,-6.2,7.0,not done
0.2,-4.5,8.0,not done
0.3,-2.0,12.0,not done
0.3,0.4,17.0,not done
0.4,-0.0,19.0,not done
0.4,-3.4,15.0,not done
0.3,-7.5,11.0,not done
0.3,-7.1,9.0,not done
0.3,-5.1,9.0,not done
0.3,-5.6,8.0,not done
0.3,-3.1,10.0,not done
0.3,0.0,15.0,not done
0.3,1.0,18.0,not done
0.3,0.1,19.0,not done
0.4,-0.6,20.0,not done
0.4,-3.4,18.0,not done
0.4,-7.3,13.0,not done
0.4,-8.1,11.0,not done
0.3,-5.0,11.0,not done
0.3,-4.6,12.0,not done
0.3,-4.1,13.0,not done
0.3,-2.4,15.0,not done
0.3,0.0,19.0,not done
0.4,0.8,22.0,not done
0.4,-0.7,22.0,not done
0.4,-6.3,17.0,not done
0.4,-9.5,12.0,not done
0.4,-8.4,12.0,not done
0.3,-4.8,14.0,not done
0.3,-7.5,10.0,not done
0.3,-5.3,12.0,not done
0.3,-1.7,16.0,not done
0.4,-3.2,16.0,not done
0.4,-6.4,13.0,not done
0.3,-7.7,11.0,not done
0.3,-6.8,10.0,not done
0.3,-5.7,10.0,not done
0.3,-3.1,13.0,not done
0.3,-0.4,17.0,not done
0.3,1.2,20.0,not done
0.4,0.1,21.0,not done
0.4,-3.6,17.0,not done
0.4,-5.1,15.0,not done
0.4,-7.8,12.0,not done
0.3,-6.1,12.0,not done
0.3,-3.7,13.0,not done
0.3,-2.2,14.0,not done
0.4,-1.2,18.0,not done
0.4,-2.1,18.0,not done
0.4,-2.2,19.0,not done
0.4,-4.5,16.0,not done
0.4,-6.0,14.0,not done
0.4,-4.2,15.0,not done
0.3,-3.4,15.0,not done
0.4,-2.2,17.0,not done
0.4,-2.2,18.0,not done
0.4,-2.3,19.0,not done
0.4,-4.7,16.0,not done
0.4,-3.4,16.0,not done
0.4,-4.8,15.0,not done
0.4,-5.8,15.0,not done
0.4,-3.1,17.0,not done
0.4,-1.1,19.0,not done
0.4,-3.3,18.0,not done
0.4,-6.0,14.0,not done
0.3,-6.5,12.0,not done
0.3,-2.7,16.0,not done
0.4,-4.5,14.0,not done
0.4,-2.9,17.0,not done
0.4,-0.3,21.0,not done
0.4,-4.0,17.0,not done
0.4,-6.6,13.0,not done
0.4,-4.4,15.0,not done
0.4,-3.4,16.0,not done
0.4,-4.3,16.0,not done
0.4,-2.8,18.0,not done
0.4,-1.5,20.0,not done
0.4,-3.4,17.0,not done
0.4,-3.8,18.0,not done
0.4,-3.3,19.0,not done
0.4,-2.7,20.0,not done
0.4,-0.3,24.0,not done
0.5,-3.3,22.0,not done
0.4,-6.2,18.0,not done
0.4,-4.6,18.0,not done
0.4,-4.7,18.0,not done
0.4,-6.3,17.0,not done
0.4,-3.6,19.0,not done
0.4,-4.0,19.0,not done
0.4,-5.5,16.0,not done
0.4,-5.0,16.0,not done
0.4,-6.3,15.0,not done
0.4,-4.9,17.0,not done
0.4,-4.0,17.0,not done
0.4,-4.7,16.0,not done
0.4,-4.4,16.0,not done
0.4,-4.2,17.0,not done
0.4,-2.7,19.0,not done
0.4,-2.4,20.0,not done
0.4,-4.6,18.0,not done
0.4,-5.9,16.0,not done
0.4,-3.9,17.0,not done
0.4,-4.6,17.0,not done
0.4,-3.5,19.0,not done
0.4,-0.7,23.0,not done
0.4,-4.5,18.0,not done
0.4,-5.5,17.0,not done
0.4,-3.3,20.0,not done
0.5,-4.4,20.0,not done
0.5,-5.5,19.0,not done
0.4,-5.0,19.0,not done
0.4,-3.7,20.0,not done
0.4,-3.5,20.0,not done
0.5,-3.1,21.0,not done
0.5,-1.9,25.0,not done
0.5,-7.4,18.0,not done
0.4,-8.9,15.0,not done
0.4,-4.9,18.0,not done
0.4,-6.2,17.0,not done
0.4,-6.3,17.0,not done
0.4,-4.3,20.0,not done
0.4,-6.9,16.0,not done
0.4,-7.1,15.0,not done
